Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,RFM_Recency,Friction_Risk
1.0,17.0,4,Laptop & Accessory,3,Married,3,1,4.0,167.6,4.0,5.0
0.0,14.0,4,Mobile,1,Single,2,1,0.0,124.39,0.0,1.0
19.0,14.0,2,Laptop & Accessory,3,Married,6,0,3.0,189.34,3.0,0.0
29.0,15.0,5,Grocery,4,Married,3,1,1.0,260.77,1.0,2.0
10.0,10.0,4,Laptop & Accessory,4,Single,6,0,8.0,169.85,8.0,0.0
1.0,9.0,4,Mobile Phone,4,Single,3,0,1.0,138.93,1.0,0.0
13.0,11.0,4,Fashion,5,Married,6,1,12.0,204.75,12.0,13.0
7.0,6.0,1,Mobile,2,Single,3,0,3.0,132.8,3.0,0.0
7.0,8.0,4,Laptop & Accessory,3,Divorced,2,0,9.0,195.47,9.0,0.0
6.0,7.0,4,Mobile Phone,1,Married,2,0,3.0,148.14,3.0,0.0
10.0,19.0,3,Laptop & Accessory,1,Married,2,0,7.0,142.85,7.0,0.0
5.0,10.0,4,Fashion,3,Married,11,0,3.0,261.75,3.0,0.0
17.0,14.0,1,Mobile,1,Married,3,1,2.0,128.18,2.0,3.0
5.0,6.0,3,Mobile,2,Married,1,0,2.0,123.14,2.0,0.0
23.0,30.0,3,Grocery,3,Divorced,4,1,5.0,239.73,5.0,6.0
3.0,9.0,4,Laptop & Accessory,3,Divorced,3,0,3.0,171.49,3.0,0.0
13.0,14.0,3,Laptop & Accessory,3,Divorced,4,1,3.0,167.96,3.0,4.0
16.0,8.0,3,Mobile,1,Single,1,0,8.0,135.39,8.0,0.0
0.0,14.0,4,Mobile,1,Married,6,0,3.0,123.67,3.0,0.0
20.0,12.0,4,Laptop & Accessory,1,Single,6,1,9.0,182.72,9.0,10.0
0.0,14.0,1,Mobile,3,Married,8,0,2.0,135.17,2.0,0.0
15.0,12.0,2,Mobile Phone,3,Divorced,4,1,4.0,146.27,4.0,5.0
1.0,24.0,4,Mobile Phone,4,Married,2,1,2.0,155.58,2.0,3.0
14.0,12.0,3,Fashion,3,Single,2,0,7.0,192.41,7.0,0.0
26.0,14.0,3,Grocery,1,Married,6,0,3.0,218.36,3.0,0.0
4.0,31.0,2,Grocery,4,Single,6,1,1.0,256.94,1.0,2.0
8.0,31.0,4,Fashion,4,Married,4,0,8.0,209.03,8.0,0.0
7.0,17.0,4,Laptop & Accessory,4,Divorced,5,0,8.0,144.9,8.0,0.0
3.0,8.0,5,Grocery,1,Married,5,0,8.0,286.24,8.0,0.0
30.0,6.0,3,Fashion,2,Divorced,4,1,3.0,219.04,3.0,4.0
10.0,25.0,3,Laptop & Accessory,3,Married,4,0,2.0,157.68,2.0,0.0
2.0,8.0,3,Grocery,1,Married,8,0,3.0,221.69,3.0,0.0
6.0,6.0,4,Mobile,5,Single,4,1,2.0,127.99,2.0,3.0
19.0,14.0,3,Mobile,3,Married,9,0,8.0,123.39,8.0,0.0
9.0,12.0,1,Mobile Phone,5,Married,2,1,0.0,116.01,0.0,1.0
7.0,8.0,1,Mobile,1,Married,1,1,2.0,129.32,2.0,3.0
3.0,16.0,3,Fashion,3,Single,10,0,2.0,196.67,2.0,0.0
30.0,15.0,4,Mobile Phone,5,Married,6,1,3.0,167.57,3.0,4.0
11.0,14.0,3,Mobile,5,Single,4,0,0.0,126.19,0.0,0.0
8.0,8.0,5,Mobile Phone,4,Married,7,0,3.0,157.94,3.0,0.0
1.0,14.0,2,Mobile Phone,5,Single,2,0,8.0,160.78,8.0,0.0
28.0,14.0,4,Laptop & Accessory,1,Married,6,0,8.0,193.54,8.0,0.0
10.0,6.0,3,Fashion,1,Single,5,0,2.0,174.91,2.0,0.0
11.0,7.0,4,Mobile Phone,2,Single,3,0,8.0,146.15,8.0,0.0
7.0,14.0,3,Laptop & Accessory,3,Single,4,0,3.0,161.42,3.0,0.0
17.0,21.0,4,Grocery,5,Divorced,8,0,1.0,296.59,1.0,0.0
6.0,17.0,4,Mobile Phone,3,Married,8,0,4.0,159.33,4.0,0.0
13.0,10.0,5,Laptop & Accessory,3,Married,2,0,8.0,155.69,8.0,0.0
1.0,35.0,5,Laptop & Accessory,5,Single,5,0,4.0,167.84,4.0,0.0
6.0,23.0,3,Grocery,3,Single,2,0,0.0,274.44,0.0,0.0
31.0,14.0,2,Laptop & Accessory,1,Married,2,1,10.0,177.2,10.0,11.0
18.0,7.0,4,Mobile Phone,1,Married,6,1,3.0,156.95,3.0,4.0
1.0,11.0,5,Mobile Phone,2,Divorced,2,0,5.0,156.62,5.0,0.0
2.0,9.0,3,Mobile Phone,5,Single,2,1,5.0,147.23,5.0,6.0
11.0,7.0,5,Laptop & Accessory,3,Married,3,0,8.0,184.93,8.0,0.0
9.0,27.0,1,Mobile,4,Married,2,0,13.0,120.28,13.0,0.0
5.0,32.0,3,Laptop & Accessory,2,Divorced,1,0,2.0,144.65,2.0,0.0
1.0,9.0,4,Mobile Phone,5,Married,3,1,1.0,145.74,1.0,2.0
0.0,7.0,5,Laptop & Accessory,4,Single,7,0,0.0,167.35,0.0,0.0
9.0,13.0,3,Mobile,1,Married,2,1,2.0,122.75,2.0,3.0
7.0,17.0,2,Fashion,3,Married,2,1,9.0,208.8,9.0,10.0
0.0,14.0,3,Laptop & Accessory,4,Married,2,0,7.0,162.14,7.0,0.0
1.0,16.0,5,Mobile Phone,5,Married,5,0,3.0,169.0,3.0,0.0
6.0,11.0,3,Laptop & Accessory,1,Married,7,0,2.0,199.98,2.0,0.0
0.0,15.0,1,Mobile Phone,3,Married,2,0,4.0,144.01,4.0,0.0
1.0,20.0,5,Mobile Phone,5,Married,6,1,1.0,148.35,1.0,2.0
0.0,16.0,3,Laptop & Accessory,5,Single,2,0,8.0,142.13,8.0,0.0
7.0,14.0,4,Laptop & Accessory,4,Divorced,2,0,3.0,168.02,3.0,0.0
0.0,16.0,3,Fashion,5,Married,2,0,7.0,187.93,7.0,0.0
21.0,14.0,5,Fashion,5,Married,9,1,3.0,225.08,3.0,4.0
27.0,11.0,3,Others,5,Married,5,0,2.0,294.06,2.0,0.0
1.0,16.0,5,Mobile Phone,5,Single,2,1,3.0,148.21,3.0,4.0
13.0,15.0,3,Fashion,3,Single,10,0,13.0,234.99,13.0,0.0
0.0,14.0,3,Mobile,5,Single,6,1,4.0,126.57,4.0,5.0
1.0,10.0,4,Mobile Phone,5,Single,2,0,5.0,156.02,5.0,0.0
26.0,13.0,2,Grocery,3,Divorced,4,0,3.0,248.14,3.0,0.0
9.0,35.0,5,Mobile Phone,3,Married,2,0,3.0,149.3,3.0,0.0
1.0,12.0,4,Others,3,Married,8,0,1.0,308.03,1.0,0.0
0.0,31.0,1,Mobile,1,Single,2,1,1.0,129.94,1.0,2.0
8.0,13.0,3,Fashion,3,Single,4,0,6.0,202.21,6.0,0.0
14.0,18.0,3,Mobile Phone,2,Divorced,4,1,0.0,147.66,0.0,1.0
7.0,8.0,4,Laptop & Accessory,5,Married,7,0,9.0,159.57,9.0,0.0
3.0,30.0,1,Grocery,4,Single,5,1,0.0,231.94,0.0,1.0
1.0,16.0,5,Mobile Phone,5,Divorced,5,0,3.0,169.0,3.0,0.0
8.0,9.0,4,Laptop & Accessory,1,Single,3,0,5.0,187.74,5.0,0.0
13.0,8.0,4,Mobile,3,Single,3,0,2.0,128.09,2.0,0.0
5.0,15.0,2,Mobile Phone,4,Single,11,0,3.0,146.09,3.0,0.0
28.0,27.0,4,Laptop & Accessory,3,Single,5,0,4.0,173.69,4.0,0.0
25.0,9.0,4,Fashion,3,Divorced,3,1,4.0,179.69,4.0,5.0
12.0,7.0,5,Fashion,3,Single,11,1,1.0,178.81,1.0,2.0
27.0,7.0,5,Grocery,3,Married,6,1,3.0,254.65,3.0,4.0
1.0,14.0,3,Mobile,2,Single,2,0,2.0,133.1,2.0,0.0
14.0,8.0,4,Mobile Phone,1,Married,10,0,1.0,149.06,1.0,0.0
0.0,14.0,3,Mobile,2,Divorced,6,1,4.0,124.36,4.0,5.0
12.0,21.0,4,Laptop & Accessory,4,Married,2,0,3.0,224.24,3.0,0.0
0.0,12.0,3,Mobile Phone,1,Married,2,1,2.0,56.0,2.0,3.0
14.0,12.0,5,Fashion,5,Married,7,1,3.0,229.75,3.0,4.0
27.0,13.0,3,Laptop & Accessory,1,Married,5,0,7.0,168.54,7.0,0.0
9.0,14.0,4,Mobile Phone,3,Divorced,3,0,1.0,149.04,1.0,0.0
0.0,21.0,3,Fashion,3,Divorced,8,1,7.0,236.1,7.0,8.0
3.0,16.0,2,Mobile Phone,3,Married,8,0,1.0,149.51,1.0,0.0
7.0,12.0,5,Mobile Phone,1,Married,3,0,3.0,154.11,3.0,0.0
9.0,15.0,3,Mobile,5,Single,4,0,0.0,120.18,0.0,0.0
18.0,11.0,5,Laptop & Accessory,5,Single,2,1,4.0,157.69,4.0,5.0
3.0,9.0,4,Mobile Phone,4,Divorced,2,0,3.0,156.8,3.0,0.0
0.0,9.0,1,Laptop & Accessory,1,Married,2,1,4.0,146.47,4.0,5.0
6.0,10.0,4,Laptop & Accessory,5,Married,3,0,4.0,192.25,4.0,0.0
13.0,32.0,3,Laptop & Accessory,5,Divorced,2,0,5.0,183.96,5.0,0.0
1.0,16.0,4,Mobile Phone,5,Single,9,0,5.0,167.0,5.0,0.0
19.0,13.0,4,Fashion,5,Married,6,1,1.0,257.45,1.0,2.0
12.0,9.0,4,Mobile Phone,4,Married,7,0,9.0,150.92,9.0,0.0
2.0,7.0,3,Mobile Phone,1,Married,2,0,2.0,137.6,2.0,0.0
11.0,16.0,5,Laptop & Accessory,4,Married,3,0,4.0,166.89,4.0,0.0
8.0,12.0,5,Laptop & Accessory,1,Married,3,0,14.0,164.86,14.0,0.0
4.0,8.0,3,Fashion,3,Married,2,1,6.0,198.52,6.0,7.0
2.0,28.0,2,Fashion,4,Married,8,0,3.0,219.96,3.0,0.0
10.0,31.0,3,Laptop & Accessory,3,Married,4,1,7.0,144.49,7.0,8.0
11.0,16.0,6,Grocery,3,Married,9,0,11.0,254.36,11.0,0.0
2.0,29.0,1,Mobile,3,Divorced,2,0,7.0,127.0,7.0,0.0
18.0,14.0,3,Laptop & Accessory,4,Married,9,0,15.0,123.48,15.0,0.0
0.0,8.0,3,Laptop & Accessory,1,Married,1,0,2.0,142.27,2.0,0.0
14.0,9.0,4,Mobile Phone,3,Married,4,0,3.0,145.01,3.0,0.0
26.0,13.0,3,Others,3,Married,4,0,7.0,286.06,7.0,0.0
27.0,31.0,2,Fashion,1,Married,5,0,3.0,195.05,3.0,0.0
27.0,6.0,3,Fashion,3,Married,8,0,4.0,205.02,4.0,0.0
31.0,9.0,4,Grocery,4,Married,6,0,15.0,287.91,15.0,0.0
20.0,31.0,3,Fashion,3,Single,3,0,11.0,186.33,11.0,0.0
17.0,17.0,4,Mobile Phone,2,Single,2,0,8.0,149.55,8.0,0.0
18.0,32.0,4,Laptop & Accessory,5,Married,2,0,5.0,143.85,5.0,0.0
11.0,17.0,2,Fashion,1,Married,3,1,9.0,262.44,9.0,10.0
5.0,11.0,4,Laptop & Accessory,1,Single,9,0,0.0,196.79,0.0,0.0
14.0,8.0,3,Grocery,5,Divorced,8,0,8.0,265.95,8.0,0.0
7.0,14.0,3,Laptop & Accessory,3,Single,4,0,3.0,161.42,3.0,0.0
7.0,12.0,4,Laptop & Accessory,2,Divorced,8,0,3.0,224.98,3.0,0.0
1.0,21.0,5,Mobile Phone,4,Married,3,1,3.0,162.43,3.0,4.0
23.0,15.0,3,Others,3,Married,5,1,0.0,293.31,0.0,1.0
4.0,30.0,3,Laptop & Accessory,1,Single,3,0,4.0,152.38,4.0,0.0
1.0,13.0,4,Mobile Phone,2,Divorced,3,1,3.0,151.59,3.0,4.0
9.0,9.0,4,Mobile,1,Single,1,0,1.0,120.45,1.0,0.0
9.0,15.0,4,Laptop & Accessory,4,Married,3,1,2.0,188.47,2.0,3.0
2.0,16.0,4,Mobile Phone,1,Married,3,0,5.0,145.7,5.0,0.0
1.0,14.0,4,Mobile Phone,1,Married,3,1,3.0,147.75,3.0,4.0
11.0,7.0,4,Mobile Phone,1,Single,3,0,8.0,146.15,8.0,0.0
4.0,34.0,4,Laptop & Accessory,2,Married,9,0,8.0,178.04,8.0,0.0
0.0,12.0,3,Mobile,5,Single,3,0,3.0,129.6,3.0,0.0
1.0,31.0,6,Mobile Phone,1,Single,3,1,1.0,148.4,1.0,2.0
2.0,16.0,4,Mobile Phone,2,Divorced,3,0,5.0,145.7,5.0,0.0
4.0,8.0,4,Laptop & Accessory,5,Divorced,4,0,0.0,164.1,0.0,0.0
9.0,12.0,5,Mobile,3,Married,2,0,7.0,127.41,7.0,0.0
1.0,24.0,4,Mobile Phone,4,Married,3,0,1.0,147.1,1.0,0.0
18.0,7.0,4,Laptop & Accessory,5,Married,7,1,4.0,179.54,4.0,5.0
4.0,14.0,4,Mobile Phone,4,Single,2,0,3.0,154.83,3.0,0.0
15.0,14.0,2,Mobile Phone,3,Divorced,3,0,9.0,158.76,9.0,0.0
3.0,31.0,3,Laptop & Accessory,3,Divorced,8,1,2.0,147.36,2.0,3.0
9.0,16.0,4,Laptop & Accessory,3,Single,3,0,9.0,175.98,9.0,0.0
9.0,6.0,3,Laptop & Accessory,2,Single,5,0,0.0,166.53,0.0,0.0
9.0,21.0,5,Mobile,1,Married,1,1,3.0,121.68,3.0,4.0
1.0,10.0,4,Mobile Phone,3,Single,3,0,8.0,165.84,8.0,0.0
10.0,33.0,1,Laptop & Accessory,3,Single,5,1,3.0,163.97,3.0,4.0
0.0,12.0,3,Mobile,3,Divorced,1,0,2.0,127.73,2.0,0.0
0.0,11.0,3,Mobile Phone,2,Single,2,0,0.0,110.51,0.0,0.0
0.0,15.0,4,Mobile,5,Single,8,0,3.0,134.07,3.0,0.0
28.0,12.0,4,Others,5,Married,6,0,3.0,319.06,3.0,0.0
6.0,14.0,3,Mobile,1,Single,5,0,0.0,124.96,0.0,0.0
2.0,26.0,3,Laptop & Accessory,2,Married,3,0,2.0,169.31,2.0,0.0
19.0,13.0,5,Fashion,1,Single,8,0,3.0,213.65,3.0,0.0
31.0,7.0,5,Laptop & Accessory,3,Single,9,0,4.0,179.73,4.0,0.0
1.0,35.0,4,Laptop & Accessory,4,Divorced,3,0,5.0,187.72,5.0,0.0
0.0,16.0,4,Fashion,5,Married,10,0,0.0,203.06,0.0,0.0
14.0,10.0,5,Laptop & Accessory,4,Married,7,0,2.0,164.3,2.0,0.0
9.0,6.0,3,Mobile,4,Single,2,0,1.0,120.96,1.0,0.0
0.0,6.0,1,Fashion,4,Single,2,0,7.0,174.46,7.0,0.0
1.0,17.0,5,Laptop & Accessory,2,Divorced,3,1,5.0,182.69,5.0,6.0
2.0,7.0,6,Laptop & Accessory,2,Divorced,2,0,6.0,191.74,6.0,0.0
15.0,9.0,1,Laptop & Accessory,2,Divorced,3,1,3.0,152.31,3.0,4.0
25.0,15.0,5,Fashion,4,Married,7,0,8.0,249.9,8.0,0.0
21.0,10.0,4,Fashion,3,Single,8,0,3.0,209.99,3.0,0.0
7.0,14.0,4,Laptop & Accessory,4,Married,2,0,3.0,168.02,3.0,0.0
29.0,9.0,5,Grocery,5,Single,9,0,3.0,292.56,3.0,0.0
11.0,9.0,3,Laptop & Accessory,3,Single,4,1,2.0,143.17,2.0,3.0
10.0,13.0,6,Mobile Phone,3,Married,3,0,8.0,152.41,8.0,0.0
0.0,14.0,4,Laptop & Accessory,5,Single,7,0,2.0,153.26,2.0,0.0
9.0,15.0,4,Fashion,1,Single,2,0,7.0,196.19,7.0,0.0
26.0,6.0,3,Laptop & Accessory,5,Single,8,0,10.0,183.81,10.0,0.0
28.0,6.0,4,Laptop & Accessory,3,Single,9,0,1.0,162.8,1.0,0.0
1.0,7.0,5,Mobile Phone,3,Married,3,1,1.0,154.33,1.0,2.0
1.0,16.0,5,Mobile Phone,3,Married,2,1,1.0,158.88,1.0,2.0
12.0,30.0,5,Fashion,3,Single,2,0,3.0,220.26,3.0,0.0
5.0,30.0,3,Laptop & Accessory,1,Married,2,0,7.0,153.09,7.0,0.0
8.0,9.0,4,Laptop & Accessory,2,Single,3,0,5.0,187.74,5.0,0.0
1.0,17.0,5,Mobile Phone,3,Single,3,0,1.0,137.0,1.0,0.0
2.0,11.0,4,Laptop & Accessory,4,Married,2,1,9.0,141.87,9.0,10.0
3.0,31.0,3,Laptop & Accessory,3,Married,8,1,2.0,147.36,2.0,3.0
4.0,14.0,4,Mobile,4,Single,1,1,2.0,126.57,2.0,3.0
5.0,16.0,3,Laptop & Accessory,1,Single,2,0,8.0,153.96,8.0,0.0
6.0,11.0,4,Mobile,2,Divorced,2,0,2.0,129.11,2.0,0.0
0.0,14.0,2,Laptop & Accessory,4,Divorced,1,0,2.0,148.51,2.0,0.0
9.0,13.0,3,Mobile,3,Married,1,1,7.0,123.08,7.0,8.0
13.0,11.0,5,Laptop & Accessory,3,Married,6,0,10.0,184.02,10.0,0.0
29.0,9.0,4,Grocery,1,Single,4,1,3.0,291.59,3.0,4.0
13.0,27.0,4,Laptop & Accessory,1,Married,4,0,3.0,166.27,3.0,0.0
5.0,7.0,4,Laptop & Accessory,2,Single,10,1,6.0,184.93,6.0,7.0
7.0,7.0,2,Laptop & Accessory,5,Married,3,0,9.0,165.37,9.0,0.0
15.0,11.0,4,Mobile Phone,3,Married,11,1,8.0,149.61,8.0,9.0
12.0,9.0,5,Laptop & Accessory,1,Married,5,0,6.0,177.49,6.0,0.0
15.0,14.0,3,Laptop & Accessory,4,Married,1,0,2.0,168.25,2.0,0.0
28.0,9.0,5,Fashion,3,Married,8,0,1.0,231.86,1.0,0.0
21.0,9.0,5,Mobile Phone,2,Single,3,1,3.0,157.94,3.0,4.0
10.0,19.0,5,Fashion,2,Single,2,0,3.0,213.58,3.0,0.0
0.0,15.0,3,Mobile Phone,1,Single,2,0,0.0,110.81,0.0,0.0
19.0,33.0,5,Laptop & Accessory,5,Married,3,0,6.0,168.85,6.0,0.0
13.0,9.0,4,Mobile,3,Married,2,1,2.0,126.83,2.0,3.0
0.0,35.0,5,Laptop & Accessory,5,Single,9,0,2.0,149.69,2.0,0.0
2.0,33.0,5,Laptop & Accessory,5,Married,3,0,5.0,172.24,5.0,0.0
1.0,7.0,6,Mobile Phone,4,Single,9,1,8.0,147.16,8.0,9.0
9.0,9.0,3,Mobile,4,Single,5,0,2.0,120.88,2.0,0.0
0.0,14.0,3,Mobile,4,Single,1,0,2.0,124.22,2.0,0.0
1.0,30.0,4,Fashion,5,Married,11,1,3.0,224.5,3.0,4.0
19.0,9.0,4,Laptop & Accessory,2,Single,6,0,4.0,176.6,4.0,0.0
0.0,26.0,3,Laptop & Accessory,3,Single,2,0,7.0,199.81,7.0,0.0
1.0,9.0,4,Mobile Phone,5,Divorced,8,1,3.0,145.42,3.0,4.0
8.0,17.0,4,Mobile Phone,3,Married,3,1,1.0,163.15,1.0,2.0
23.0,6.0,3,Laptop & Accessory,3,Divorced,1,0,13.0,163.47,13.0,0.0
29.0,15.0,3,Mobile,3,Married,3,0,3.0,129.42,3.0,0.0
9.0,7.0,3,Mobile,1,Married,2,0,3.0,120.44,3.0,0.0
1.0,15.0,3,Laptop & Accessory,2,Single,2,0,7.0,152.53,7.0,0.0
21.0,33.0,4,Others,3,Married,5,0,1.0,321.58,1.0,0.0
30.0,13.0,1,Laptop & Accessory,1,Married,1,1,9.0,152.2,9.0,10.0
11.0,16.0,3,Laptop & Accessory,3,Married,4,0,2.0,160.77,2.0,0.0
30.0,8.0,4,Grocery,2,Single,4,1,3.0,237.26,3.0,4.0
15.0,13.0,4,Mobile Phone,5,Single,4,1,18.0,172.21,18.0,19.0
2.0,8.0,3,Laptop & Accessory,1,Married,2,0,3.0,188.53,3.0,0.0
13.0,28.0,6,Laptop & Accessory,3,Married,8,0,3.0,182.36,3.0,0.0
25.0,10.0,4,Grocery,4,Single,5,0,1.0,262.34,1.0,0.0
5.0,7.0,6,Laptop & Accessory,3,Married,2,0,5.0,168.45,5.0,0.0
1.0,14.0,4,Laptop & Accessory,3,Married,3,0,2.0,173.83,2.0,0.0
1.0,7.0,5,Laptop & Accessory,5,Single,3,0,8.0,167.94,8.0,0.0
14.0,16.0,5,Laptop & Accessory,2,Divorced,11,0,3.0,173.76,3.0,0.0
16.0,9.0,4,Laptop & Accessory,2,Divorced,3,0,3.0,165.89,3.0,0.0
26.0,18.0,4,Laptop & Accessory,3,Divorced,10,0,5.0,156.49,5.0,0.0
2.0,34.0,4,Mobile Phone,5,Single,2,0,4.0,137.85,4.0,0.0
20.0,10.0,3,Laptop & Accessory,2,Single,2,1,7.0,141.63,7.0,8.0
1.0,23.0,6,Mobile Phone,5,Single,3,1,8.0,164.19,8.0,9.0
14.0,25.0,3,Laptop & Accessory,5,Married,3,0,0.0,130.72,0.0,0.0
1.0,10.0,4,Mobile Phone,5,Single,2,0,5.0,156.02,5.0,0.0
1.0,10.0,4,Laptop & Accessory,5,Divorced,3,1,4.0,166.94,4.0,5.0
0.0,8.0,3,Laptop & Accessory,3,Single,2,1,4.0,144.78,4.0,5.0
6.0,7.0,4,Laptop & Accessory,4,Married,3,0,10.0,187.2,10.0,0.0
12.0,6.0,2,Fashion,2,Married,1,0,7.0,196.13,7.0,0.0
4.0,17.0,5,Laptop & Accessory,3,Divorced,3,0,5.0,190.78,5.0,0.0
10.0,12.0,4,Laptop & Accessory,4,Single,10,0,8.0,184.14,8.0,0.0
1.0,23.0,4,Mobile Phone,4,Married,4,1,3.0,148.73,3.0,4.0
29.0,25.0,4,Grocery,4,Single,5,0,8.0,293.35,8.0,0.0
19.0,21.0,3,Others,4,Married,6,0,3.0,290.81,3.0,0.0
24.0,13.0,4,Laptop & Accessory,3,Married,3,0,0.0,161.32,0.0,0.0
1.0,7.0,5,Mobile Phone,5,Single,8,0,8.0,148.62,8.0,0.0
10.0,13.0,4,Laptop & Accessory,4,Married,8,0,2.0,174.41,2.0,0.0
9.0,22.0,4,Laptop & Accessory,5,Married,5,0,2.0,156.47,2.0,0.0
26.0,14.0,4,Fashion,4,Single,9,0,3.0,229.45,3.0,0.0
9.0,30.0,4,Mobile,3,Single,6,1,3.0,120.28,3.0,4.0
17.0,35.0,3,Laptop & Accessory,1,Single,2,0,17.0,145.41,17.0,0.0
16.0,15.0,4,Laptop & Accessory,4,Married,2,0,3.0,193.25,3.0,0.0
7.0,14.0,4,Laptop & Accessory,5,Married,2,0,4.0,168.73,4.0,0.0
20.0,6.0,3,Fashion,4,Married,1,0,3.0,219.57,3.0,0.0
4.0,9.0,6,Laptop & Accessory,1,Single,4,0,3.0,185.91,3.0,0.0
9.0,23.0,5,Mobile,3,Married,2,0,2.0,123.05,2.0,0.0
18.0,29.0,3,Laptop & Accessory,5,Married,2,1,8.0,136.33,8.0,9.0
8.0,13.0,5,Laptop & Accessory,4,Married,8,0,1.0,170.05,1.0,0.0
13.0,7.0,3,Fashion,2,Married,2,0,3.0,221.13,3.0,0.0
12.0,14.0,3,Laptop & Accessory,5,Married,3,1,8.0,181.05,8.0,9.0
8.0,14.0,4,Mobile,2,Divorced,2,0,2.0,123.76,2.0,0.0
11.0,18.0,4,Mobile Phone,3,Single,6,0,3.0,161.29,3.0,0.0
11.0,22.0,3,Laptop & Accessory,4,Single,3,0,2.0,141.98,2.0,0.0
0.0,32.0,3,Laptop & Accessory,2,Single,2,0,4.0,161.8,4.0,0.0
1.0,11.0,3,Laptop & Accessory,1,Single,2,0,2.0,149.08,2.0,0.0
9.0,12.0,5,Mobile,3,Married,2,0,7.0,127.41,7.0,0.0
6.0,9.0,4,Laptop & Accessory,3,Single,6,1,8.0,174.98,8.0,9.0
2.0,16.0,4,Laptop & Accessory,3,Single,10,0,4.0,158.69,4.0,0.0
24.0,7.0,4,Others,1,Married,5,0,7.0,320.17,7.0,0.0
7.0,16.0,3,Mobile Phone,3,Married,2,1,0.0,138.15,0.0,1.0
2.0,15.0,4,Mobile Phone,1,Single,3,0,3.0,158.1,3.0,0.0
0.0,9.0,3,Mobile,5,Single,2,1,7.0,133.48,7.0,8.0
28.0,14.0,4,Grocery,4,Married,2,1,0.0,235.77,0.0,1.0
21.0,9.0,4,Laptop & Accessory,1,Married,7,0,5.0,175.7,5.0,0.0
16.0,15.0,4,Mobile Phone,3,Single,6,0,1.0,164.68,1.0,0.0
9.0,16.0,4,Mobile Phone,5,Single,2,0,0.0,114.16,0.0,0.0
1.0,10.0,4,Mobile Phone,3,Single,3,0,1.0,139.2,1.0,0.0
5.0,7.0,3,Fashion,1,Married,2,0,7.0,204.22,7.0,0.0
9.0,25.0,4,Laptop & Accessory,3,Married,3,1,3.0,181.89,3.0,4.0
7.0,8.0,3,Laptop & Accessory,2,Single,2,0,4.0,162.74,4.0,0.0
15.0,8.0,3,Laptop & Accessory,2,Divorced,2,0,2.0,140.89,2.0,0.0
8.0,24.0,3,Laptop & Accessory,3,Married,2,1,2.0,156.89,2.0,3.0
17.0,6.0,3,Laptop & Accessory,3,Divorced,8,0,0.0,147.68,0.0,0.0
0.0,16.0,3,Mobile Phone,3,Single,2,1,1.0,110.09,1.0,2.0
9.0,13.0,3,Mobile,4,Single,3,0,3.0,120.13,3.0,0.0
24.0,14.0,4,Fashion,4,Married,6,0,3.0,224.9,3.0,0.0
9.0,14.0,4,Mobile Phone,4,Single,2,0,0.0,112.61,0.0,0.0
12.0,9.0,2,Laptop & Accessory,5,Single,8,1,13.0,184.8,13.0,14.0
1.0,26.0,3,Laptop & Accessory,2,Single,10,1,5.0,178.04,5.0,6.0
10.0,9.0,4,Laptop & Accessory,4,Single,11,1,13.0,179.1,13.0,14.0
22.0,16.0,3,Others,5,Single,10,1,2.0,286.65,2.0,3.0
0.0,11.0,3,Mobile,1,Single,2,0,2.0,131.17,2.0,0.0
3.0,13.0,3,Laptop & Accessory,5,Married,8,0,2.0,147.79,2.0,0.0
2.0,8.0,3,Laptop & Accessory,3,Married,2,0,2.0,146.49,2.0,0.0
0.0,15.0,3,Mobile Phone,1,Single,2,0,0.0,110.81,0.0,0.0
9.0,9.0,3,Mobile Phone,1,Married,2,0,0.0,117.06,0.0,0.0
8.0,9.0,3,Fashion,2,Married,7,0,8.0,178.23,8.0,0.0
1.0,11.0,2,Laptop & Accessory,4,Married,3,1,4.0,186.42,4.0,5.0
0.0,35.0,3,Laptop & Accessory,3,Married,6,0,0.0,143.06,0.0,0.0
11.0,14.0,4,Mobile,4,Single,2,0,3.0,124.4,3.0,0.0
1.0,12.0,4,Mobile Phone,3,Single,3,1,1.0,153.51,1.0,2.0
9.0,13.0,3,Mobile,5,Single,4,1,3.0,121.66,3.0,4.0
9.0,13.0,2,Mobile,2,Married,5,0,2.0,120.89,2.0,0.0
11.0,29.0,4,Fashion,3,Single,1,0,8.0,195.26,8.0,0.0
13.0,14.0,3,Laptop & Accessory,5,Married,3,1,0.0,165.16,0.0,1.0
22.0,11.0,5,Fashion,3,Single,9,0,9.0,234.99,9.0,0.0
16.0,30.0,5,Laptop & Accessory,3,Single,3,0,8.0,168.32,8.0,0.0
27.0,14.0,3,Laptop & Accessory,3,Single,8,0,0.0,137.8,0.0,0.0
11.0,21.0,4,Fashion,1,Married,1,1,3.0,215.1,3.0,4.0
11.0,17.0,4,Laptop & Accessory,4,Single,4,1,2.0,166.97,2.0,3.0
5.0,11.0,3,Laptop & Accessory,4,Married,2,0,3.0,165.24,3.0,0.0
9.0,13.0,4,Mobile Phone,3,Divorced,2,1,3.0,160.06,3.0,4.0
9.0,16.0,4,Laptop & Accessory,3,Married,2,1,7.0,156.73,7.0,8.0
